Normal Walking,,,,Dorsi Walking,,,,Plantar Walking,,,
F1,F2,F3,F4,F1,F2,F3,F4,F1,F2,F3,F4
1.36,1.114549136,198.2731021,-120.7380075,1.35,1.634990663,206.5807679,-113.6756621,1.11,1.662894877,221.2941755,-130.6416991
1.41,0.953782651,185.6821142,-119.1723061,1.39,1.616207032,212.4369479,-112.2164525,1.13,1.877359556,223.6096627,-123.0088413
1.4,1.181259038,192.366721,-106.533529,1.41,1.887948376,196.6371575,-119.8181399,1.11,1.925539809,233.0860478,-135.8888923
1.4,0.860285188,179.6668086,-104.2320837,1.39,1.180507947,222.0809541,-121.9737758,1.15,1.448421546,223.0245899,-138.0498508
1.39,0.815453542,183.7162662,-113.004649,1.39,1.699510797,205.2649309,-138.3756754,1.14,1.759569099,225.4690833,-132.8254885
1.37,0.985533991,172.6877242,-104.6524766,1.4,1.984712025,210.5175251,-122.5864361,1.16,1.964567885,218.7711691,-119.8095805
1.33,1.45962368,176.456596,-115.5548376,1.39,1.649973871,201.2589404,-113.4690351,1.15,1.927565124,228.1718021,-119.6254063
1.34,0.929185326,146.1294422,-110.1750944,1.38,1.403633646,207.87286,-96.6180122,1.15,1.644009655,239.421269,-129.7436589
1.35,0.967242824,136.3409594,-110.2726963,1.42,1.674342914,202.5734606,-101.6788014,1.15,1.736742369,232.516155,-123.0149471
1.38,1.068526843,176.2485669,-121.0938205,1.45,1.724916839,190.8939053,-108.5719099,1.14,2.012862884,227.8122914,-123.4410184
1.32,1.256493732,169.7129338,-117.5355019,1.4,1.473756186,181.8932878,-112.4716247,1.16,1.708771887,226.8199396,-118.1693155
1.31,1.287130283,179.8074643,-126.4225659,1.43,1.489095956,189.3921567,-120.1828615,1.15,1.591844381,227.118616,-134.1786235
1.34,0.949513806,163.6521737,-120.8042762,1.45,1.827179206,197.1554592,-121.880225,1.15,2.048649687,241.8263108,-142.3396318
1.37,1.607174755,170.6068429,-119.8950758,1.39,0.868343386,200.7249066,-124.1213191,1.15,0.859926304,225.124023,-136.624619
