F1,F2,F3,F4,
1.42,1.659165954,248.7842058,-129.5882259,dorsi
1.41,1.408752529,239.0987765,-115.6139467,plantar
1.27,1.703445655,265.5853969,-132.5121636,plantar
1.26,1.695617541,253.1565421,-140.7550948,plantar
1.26,1.886637843,253.1671475,-136.9535394,plantar
1.22,1.880491075,262.7030977,-152.4986867,plantar
1.28,1.496013753,251.1752663,-140.6518655,plantar
1.25,1.300526164,251.6553321,-138.9784168,plantar
1.21,1.384672721,279.8602344,-153.6351451,plantar
1.24,2.077189377,250.5920246,-135.4187207,plantar
1.26,1.378396796,263.5955158,-138.3208107,plantar
1.2,1.677652933,281.5056753,-133.014088,plantar
1.2,1.851566468,265.0983764,-144.2621574,plantar
1.21,1.807354304,276.1314132,-133.3546056,plantar
1.19,1.72907091,269.252424,-136.8696533,plantar
1.21,1.880018824,274.0499017,-136.0617038,plantar
1.24,1.896580324,279.3550878,-146.6467825,plantar
1.21,2.344248957,264.7942176,-140.1797261,plantar
1.21,1.793233075,257.3738051,-136.8096043,plantar
1.17,2.097732197,272.1494488,-147.4038533,plantar
1.23,2.05268674,272.4846056,-145.407267,plantar
1.2,1.744370433,282.27059,-158.8960803,plantar
1.22,2.028701376,263.6843831,-141.4474109,plantar
1.2,2.160898825,270.4845804,-146.4183905,plantar
1.2,1.80356649,265.5001207,-146.182873,plantar
1.17,1.925304221,265.2583607,-144.8995569,plantar
1.2,2.201502779,276.5642966,-149.7980641,plantar
1.19,1.661875894,253.530133,-149.2814767,plantar
1.19,1.890933221,251.6190752,-161.8432087,plantar
1.19,1.867994028,254.1913781,-155.9416477,plantar
1.15,2.276075848,279.4702712,-163.2067689,plantar
1.17,1.576003025,274.6880118,-151.8496731,plantar
1.17,1.690407236,279.9805744,-157.6797264,plantar
1.17,1.810641656,271.1742357,-153.2964129,plantar
1.17,2.466087055,279.4359222,-147.1705473,plantar
1.18,1.78327995,260.5446113,-126.5222632,plantar
1.18,1.742143903,272.6618885,-156.6043085,plantar
1.18,1.805999189,270.6409729,-140.9592046,plantar
1.2,1.786111244,277.1512728,-156.5435915,plantar
1.17,1.722575626,278.3464941,-142.6077452,plantar
1.19,1.929034758,264.1700191,-149.4986353,plantar
1.14,1.989495938,302.4776032,-155.391113,plantar
1.2,1.698486739,267.0978073,-138.5648095,plantar
1.17,1.751290729,271.2539015,-157.4934633,plantar
1.18,1.362922747,264.8057747,-148.0085107,plantar
1.17,2.23474159,288.1948407,-162.0554792,plantar
1.18,1.670717292,266.2547508,-162.7182909,plantar
1.15,1.183867329,252.4049317,-171.3275302,plantar
1.15,1.439000963,248.0039736,-141.4664786,plantar
1.18,1.411111478,243.4374146,-112.7536525,plantar
1.19,1.935475747,273.7732449,-147.9215836,plantar
1.18,1.856078157,255.0989721,-144.2380882,plantar
1.2,1.235931052,260.3471332,-146.8315404,plantar
1.23,1.254572204,270.7076638,-139.9674195,plantar
1.19,2.244043978,282.2126118,-154.3048912,plantar
1.19,1.28855964,284.5941782,-155.581833,plantar
1.19,1.788486105,278.4831404,-143.0971881,plantar
1.18,1.853489776,283.2162693,-151.6895872,plantar
1.17,2.256299743,281.9205797,-153.2126517,plantar
1.18,1.817970095,287.7040562,-160.2328154,plantar
1.2,1.944445852,272.7487726,-157.35953,plantar
1.17,1.862483141,288.1600161,-167.111204,plantar
1.17,1.918726876,282.1067994,-140.0418954,plantar
1.19,0.606866224,285.0961683,-148.5887519,plantar
1.21,1.839425537,261.5194782,-142.6987095,plantar
1.15,2.222436017,252.6264603,-158.0881232,plantar
1.11,2.103526069,246.9508074,-122.3642818,plantar
1.21,1.947923037,240.0233938,-122.0451226,plantar
1.2,1.585420232,260.9300988,-116.2113427,plantar
1.19,1.568440196,260.1116817,-124.8517775,plantar
1.2,2.11214111,252.6727867,-123.8975343,plantar
1.18,1.939077501,278.0120465,-146.0063843,plantar
1.19,1.645264848,263.0773069,-128.3223544,plantar
1.16,1.990757563,266.9851651,-117.6030087,plantar
1.2,2.186172577,247.2219555,-124.7627906,plantar
1.15,1.359399132,279.3451957,-129.5486554,plantar
1.16,1.703206411,259.7072513,-151.293454,plantar
1.13,2.060374462,258.618976,-146.162893,plantar
1.15,1.733188615,254.9410156,-149.1500102,plantar
1.14,1.634351872,258.3537077,-138.4706981,plantar
1.18,1.456396731,262.3960117,-149.0289044,plantar
1.16,1.78272937,275.0070122,-133.5111557,plantar
1.15,1.803246156,276.594367,-148.46412,plantar
